Company,Sector,Stage,Amount($),HeadQuater,What it does,year,Founded,HeadQuarter,Founders,Investor,What_it_does,column10,Company_Brand
,Beverages,Series A,2000000.0,,India's first Craft Gin company,2021,2016.0,New Delhi,Anand Virmani,,,,Nao Spirits & Beverages Pvt Ltd
,EdTech,Seed,300000.0,,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,2021,2019.0,Mumbai,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,,,PurpleTutor
,Manufacturing startup,Seed,1500000.0,,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,2021,2018.0,Mumbai,Sonam Motwani,Zone Startups In,,,Karkhana.io
,FinTech,,3000000.0,,Small businesses-focused non-banking lender,2021,2019.0,Mumbai,Vikas Agarwal,Blue Ashva Capital,,,SSA Finserv
,Cryptocurrency,Series A,15000000.0,,Coinswitch.co is a cryptocurrency exchange aggregator platform.,2021,2017.0,Bangalore,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah",,,CoinSwitch Kuber
,E-commerce,,11000000.0,,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,2021,2016.0,Bangalore,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",Ecom Express,,,Paperfly
,E-commerce,Debt,6000000.0,,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,2021,2016.0,Thane,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,,,Infra.Market
,Vehicle repair startup,Seed,1000000.0,,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",2021,2018.0,Bangalore,Vimal Singh SV,Satish Grampurohit,,,ReadyAssist
,IT,,7000000.0,,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,2021,2014.0,Mumbai,"Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures",,,Chalo
,E-commerce,,280000000.0,,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform",2021,2016.0,Bangalore,"Amod Malviya, Sujeet Kumar, Vaibhav Gupta","Octahedron Capital, Moonstone Capital",,,Udaan
,EdTech,,50000000.0,,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2021,2015.0,Bangalore,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",,,Unacademy
,AgriTech,Series A,3000000.0,,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,2021,2012.0,Samsitpur,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital",,,Ergos
,Social network,,,,Bolkar App is an Audio Based Q&A platform for the Next Billion Users.,2021,2018.0,Bangalore,"Abhishek Tripathi, Dhruv Kaushal, Prince Tripathi, Saurabh Rai","GSF, Pras Hanuma",,,Bolkar
,Advisory firm,Pre-seed,,,Quantitative Investment Management and Research,2021,2019.0,Mumbai,Sonam Srivastava,"Ajat Hukkoo, Piyush Chaplot",,,Wright Research
,Media,,200000.0,,Knocksense which owns and operates an eponymous digital content platform.,2021,2016.0,Lucknow,"Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey",,,Knocksense
,EdTech,,1800000.0,,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India",2021,2015.0,Pune,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",,,Pariksha
,Healthcare,Series A,5000000.0,,ToothSi is a new age startup in the dental space providing smile correction services at home.,2021,2018.0,Mumbai,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,,,Toothsi
,Food and Beverages,Series B3,14300000.0,,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2021,2015.0,Bangalore,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",,,Jumbotail
,FinTech,Series A,4000000.0,,"Payments Facilitator, Payments solution provider etc.",2021,2015.0,Pune,"Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, BEENEXT",,,Phi Commerce
,Gaming,,10000000.0,,Zupee is a skill-based gaming app that enables its users to play against each-other live,2021,2018.0,Gurgaon,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India",,,Zupee
,Gaming,,,,Oneiric Gaming connects to fellow dreamers around the globe over cult favorite games like Bluff and Cricket.,2021,2020.0,Chandigarh,Avneet Singh,Trishneet Arora,,,Oneiric Gaming
,Insuretech,Seed,300000.0,,Finsall provides Insurance Premium Financing,2021,2019.0,Bangalore,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,,,Finsall
,Legaltech,,500000.0,,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.",2021,2015.0,Ahmedabad,"Shrijay Sheth, Gaurav Barot",ContCentric,,,Legalwiz.in
,EdTech,Pre-series B,4000000.0,,"Making Learning personal, immersive and experiental",2021,2018.0,Telangana,Subbarao Siddabattula,Siana Capital,,,Practically
,FinTech,Series C,81000000.0,,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,2021,2018.0,Bangalore,Kunal Shah,"DST Global, General Catalyst",,,Cred
,Pollution control equiptment,,1000000.0,,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",2021,2018.0,Bangalore,Dr Srikanth Sola,Blue Ashva Capital,,,Devic Earth
,FinTech,Pre-series A,1300000.0,,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",2021,2018.0,Gurgaon,Jaijit Bhattacharya,Anthill Ventures,,,Zerone
,Fashion & Lifestyle,PE,100000000.0,,boAt is a lifestyle brand that deals in fashionable consumer electronics.,2021,2016.0,Mumbai,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita",,,boAt
,Media,,2000000.0,,Pocket Aces is a digital entertainment company focused on mobile video.,2021,2013.0,Mumbai,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group",,,Pocket Aces
,EdTech,Series A,5000000.0,,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids",2021,2020.0,Bangalore,"Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,,,Kyt
,Healthcare,,300000.0,,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.",2021,2019.0,Bangalore,"Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList",,,iMumz
,FinTech,Debt,8200000.0,,BharatPe develops a QR code-based payment app for offline retailers and businesses.,2021,2018.0,New Delhi,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",,,BharatPe
,AgriTech,Series C,20000000.0,,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,2021,2010.0,Bangalore,Krishna Kumar,"Invested Development, Pratithi Investment Trust",,,CropIn
,Cosmetics,Seed,200000.0,,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",2021,2018.0,Haryana,Prateek Ruhail,"Dhianu Das, Agility Venture Partners",,,Vanity Wagon
,Hospitality,Series F1,7000000.0,,OYO operates a branded network of hotels designed to offer standardized stay experiences.,2021,2012.0,Gurgaon,Ritesh Agarwal,Hindustan Media Venture,,,Oyo
,AgriTech,Seed,,,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,2021,2018.0,Pune,"Abhijith Naraparaju, Pankajj P. Ghode, Sundeep Bose",Omnivore,,,Agri10x
,FinTech,,4000000.0,,Blacksoil Advisory is an independent boutique advisory firm.,2021,2016.0,Mumbai,Ankur Bansal,Awign Enterprises,,,BlackSoil
,EdTech,Pre-series A1,100000.0,,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,2021,2019.0,Mumbai,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks",,,HobSpace
,EdTech,,500000.0,,EMPOWER LEARNERS TO BE FUTURE READY USING AI,2021,2020.0,New Delhi,"Kartik Sharma, Ashish Aggarwal",S Chand,,,DcodeAI
,BioTechnology,,70000000.0,,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.",2021,1978.0,Bangalore,Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",,,Biocon Biologics
,E-commerce,Pre-seed,720000.0,,A better model for instant grocery delivery in India.,2021,2020.0,Mumbai,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,,,KiranaKart
,Healthcare,Pre-series A,3000000.0,,Meddo is an end-to-end medical services provider,2021,2018.0,Gurgaon,Saurabh Kochhar,"growX ventures, Venture Gurukool",,,Meddo
,EdTech,Series A,3000000.0,,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,2021,2012.0,Chennai,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,,,SP Robotic Works
,Logistics,Series B,15000000.0,,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,2021,2018.0,Gurugram,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,,,3SC
,Food & Beverages,,600000.0,,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",2021,2018.0,Chennai,Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",,,Chai Waale
,Cosmetics,Series A,10000000.0,,Affordable skincare for all,2021,2020.0,Jaipur,"Mohit, Rahul Yadav",Sequoia Capital,,,Minimalist
,Blockchain,,9000000.0,,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,2021,2019.0,New Delhi,"Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM",,,Biconomy
,Automotive,Pre-series A,1000000.0,,India's Most Trusted Automotive Repair Brand,2021,2018.0,Gurugram,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",,,,Fixcraft
,Financial Services,,10000000.0,,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",2021,2016.0,Bangalore,Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",,,Slice
,EdTech,Series A,5000000.0,,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,2021,2015.0,Bangalore,Vingish Vijay,Pearl Investment LLC,,,90+ My Tuition App
,Consulting,Seed,1800000.0,,Help small businesses grow their sales via our customer interaction and growth platform.,2021,2021.0,Bangalore,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",,,Wasabi
,Real Estate,Series A,6000000.0,,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,2021,2019.0,Bangalore,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",,,Strata
,E-commerce,Seed,300000.0,,A curated online marketplace for all things sustainable!,2021,2020.0,Bangalore,Pallavi Srivastava,VANS Group,,,Ourbetterplanet
,SaaS startup,Seed,1500000.0,,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.",2021,2020.0,Bangalore,"Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,,,Murf.ai
,Media,,2000000.0,,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",2021,2014.0,Pune,Rajan navani,Sachin Tendulkar,,,JetSynthesys
,Fitness,Seed,1000000.0,,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.",2021,2019.0,Silvassa,"Mohammad Patel, Rahil Virani",9Unicorns,,,MYFITNESS
,Healthcare,Seed,4000000.0,,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",2021,2020.0,Mumbai,Shilpa Rathi,Xentel Investments,,,I am Love
,D2C,,40000000.0,,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,2021,2015.0,Mumbai,"Darpan Sanghvi, Priyanka Gill",Accel Partners,,,MyGlamm
,IT,,1600000.0,,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,2021,2019.0,Bangalore,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,,,Gumlet
,Gaming,Pre-series A,2000000.0,,Creator-led Social Gaming & Live Streaming Platform,2021,2015.0,Bangalore,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",,,Eloelo
,EdTech,Pre-series A,2000000.0,,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",2021,2020.0,Noida,Chandrahas Panigrahi,"Auxano, Falcon5",,,Edukemy
,Mobility,Pre-series A,5000000.0,,Zingbus is a renowned brand in the bus operating industry.,2021,2019.0,Gurugram,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,,,Zingbus
,Media,Seed,300000.0,,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,2021,2018.0,Ahmedabad,"Soniya Kundnani, Darshan Shah",JITO Angel Network,,,NewsReach
,FinTech,Pre-seed,330000.0,,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.",2021,2017.0,Hyderabad,"VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,,,Pencilton
,IT,,1000000.0,,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers",2021,2020.0,Gurugram,"Prashant Gupta, Sridhar Sundaram",Unitus Ventures,,,Bandhoo
,IT,,53000000.0,,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!",2021,2007.0,Gurugram,"Rajnish Kumar, Aloke Bajpai","GIC, Infoedge",,,ixigo
,Food & Beverages,Series A,6000000.0,,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",2021,2019.0,Mumbai,Shashank Mehta,Sequoia Capital,,,The Whole Truth
,Fitness,Seed,800000.0,,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,2021,2021.0,Bangalore,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,,,Insane AI
,E-learning,Seed,,,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",2021,2020.0,Jaipur,Kamal Kant Gupta,IAN,,,Learn4o Technology
,Automobile,,200000000.0,,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",2021,2014.0,Gurugram,Sandeep Aggarwal,,,,Droom
,Environmental Services,,1000000.0,,Provide services that allow clients to understand and organize themselves around changing environment.,2021,2003.0,Noida,Yogesh Patil,"Northern Arc, Caspian Impact Investments",,,Skymet
,Consumer Services,Pre-series A,2000000.0,,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,2021,2019.0,Bangalore,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,,,Go Swift
,Healthcare,,50000000.0,,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,2021,2016.0,Gurugram,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,,,Mamaearth
,D2C,Series A,36000000.0,,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,2021,2021.0,Bangalore,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",,,G.O.A.T
,Food & Beverages,Pre-series A,,,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.",2021,2017.0,Lucknow,"Sachin Sahni, Simran Sahni",Venture Catalysts,,,Keeros
,Merchandise,Pre-series A,300000.0,,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",2021,2016.0,Mumbai,"Smriti Dubey, Shikhar Vaidya",Anthill Ventures,,,ReDesyn
,Facilities Services,,200000.0,,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services",2021,2019.0,Pune,"Sanket Nerkar, Paresh Kotkar",,,,Inspacco
,EdTech,Pre-series A,1000000.0,,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities",2021,2016.0,Gurugram,"Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",,,Knorish
,Healthcare,Series A,5000000.0,,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.",2021,2015.0,Bangalore,"Mudit Dandwate, Dandwate",Prime VP,,,Dozee
,Logistics & Supply Chain,Series E,67000000.0,,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,2021,2015.0,Bangalore,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",,,BlackBuck
,Marketing & Advertising,Seed,2000000.0,,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,2021,2020.0,Bangalore,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator",,,Mailmodo
,Computer software,Seed,,,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.",2021,2019.0,Bangalore,"Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",Endiya Partners,,,SuperBeings
,Healthcare,Series A,2500000.0,,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,2021,2018.0,New Delhi,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",,,NirogStreet
,Human Resources,Pre-series A,,,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,2021,2016.0,Thiruvananthapuram,"Arun Satyan, Mahesh Raju, Sreenath N",Callapina Capital,,,Hyreo
,Automotive,,,,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,2021,2020.0,Hyderabad,Mahesh Godi,Blue Ashva Capital,,,GODI Energy
,Healthcare,Seed,5000000.0,,One monthly subscription to cover all your healthcare needs.,2021,2020.0,Bangalore,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,,,Even
,Logistics,Series A,12000000.0,,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,2021,2019.0,Bangalore,Utham Gowda,"Accel Partners, Matrix India",,,Captain Fresh
,Food & Beverages,Series A,10200000.0,,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,2021,2020.0,Gurugram,Varun Khurana,"Omidyar Network India, Innoven Capital",,,Otipy
,Eyewear,,220000000.0,,India's fastest growing eyewear company and largest eyewear company online.,2021,2008.0,Faridabad,Peyush Bansal,"Temasek, Falcon Edge",,,Lenskart
,Healthcare,,4500000.0,,A digitally enabled and connected healthcare ecosystem for better health outcomes.,2021,2020.0,Bangalore,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",,,Eka.care
,EdTech,,200000.0,,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.",2021,2015.0,Chennai,"Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",,,Braingroom
,Consumer Services,Pre-series A,1000000.0,,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",2021,2017.0,Bangalore,Ravi Nishant,Inflection Point Ventures,,,Edvizo
,FinTech,,25000000.0,,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,2021,2017.0,New Delhi,Avinash Kumar,Capital India,,,Credenc
,D2C Business,Series A,150000000.0,,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,2021,2021.0,New Delhi,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",,,GlobalBees
,Automotive,Series D,108000000.0,,Spinny is a new age used car end-to-end platform in India.,2021,2015.0,Gurugram,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,,,Spinny
,Biotechnology,Series A,4000000.0,,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,2021,2017.0,Bangalore,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",,,Mynvax
,Human Resources,,500000.0,,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,2021,2018.0,Pune,Ashutosh Seth,SAB Holdings,,,RiseBird
,Healthcare,Pre-seed,330000.0,,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,2021,2020.0,Bangalore,Mehak Malik,Titan Capital,,,Uvi Health
,Farming,,13000000.0,,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,2021,2020.0,Bangalore,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital",,,Vegrow
,Automotive,,500000.0,,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.",2021,2015.0,Bangalore,"Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,,,Automovill
,NFT Marketplace,Seed,,,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",2021,2021.0,Gurugram,Toshendra Sharma,Jayanti Kanani,,,NFTically
,Healthcare,Series C,75000000.0,,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,2021,2012.0,Bangalore,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures",,,HealthifyMe
,FinTech,,450000.0,,GalaxyCard is a mobile based Instant Credit Card.,2021,2017.0,Gurugram,Amit Kumar,JITO Angel Network,,,GalaxyCard
,Healthcare,,10000000.0,,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,2021,2018.0,Gurugram,Aakash Anand,Ananta Capital,,,Bella Vita Organic
,FinTech,,10000000.0,,India's Most Preferred Instant Loan App,2021,2016.0,Bangalore,"Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital",,,SmartCoin
,EdTech,Seed,,,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",2021,2017.0,Mumbai,Shronit Ladhaniai,Unitus Ventures,,,CareerNinja
,Solar,,2000000.0,,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",2021,2016.0,New Delhi,Gagan Vermani,TATA Cleantech Capital,,,MYSUN
,Biotechnology,Series B,9000000.0,,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.",2021,2010.0,Bangalore,"Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,,,Sea6 Energy
,Consumer Goods,Seed,500000.0,,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",2021,2018.0,Mumbai,"Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,,,Beco
,Internet,,5000000.0,,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services",2021,2020.0,Bangalore,"Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners",,,OneCode
,Information Technology,Seed,1200000.0,,MedPay® is building the real-time claims adjudication platform for health insurers.,2021,2020.0,Bangalore,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",,,MedPay
,Internet,,60000000.0,,Built Inshorts with a promise to deliver news,2021,2013.0,Noida,Azhar Iqubal,Vy Capital,,,Inshorts
,SpaceTech,Seed,2500000.0,,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",2021,2018.0,Bangalore,"Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,,,Digantara
,AgriTech,Seed,700000.0,,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,2021,2018.0,Chennai,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,,,Aqgromalin
,Real Estate,,25000000.0,,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,2021,2014.0,Gurugram,Tanuj Shori,ADM Capital,,,Square Yards
,Hospitality,,660000000.0,,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,2021,2013.0,Gurugram,Ritesh Agarwal,"SoftBank Vision Fund, Hindustan Media Venture",,,OYO
,Computer software,,,,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,2021,2017.0,Bangalore,Kumar Rangarajan,100x Entrepreneurs,,,Slang Labs
,Healthcare,Seed,,,"Simplifying Diagnostics for labs, doctors, and people.",2021,2019.0,Gurugram,"Joyneel Acharya, Shweta Gandhi","Healthcare veterans, PIEDS",,,NirogGyan
,Automotive,Debt,100000000.0,,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,2021,2017.0,Bangalore,Bhavish Aggarwal,Bank of Baroda,,,Ola Electric
,Consumer software,,1300000.0,,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",2021,2019.0,Noida,Abhishek Bhayana,YCombinator,,,Bikry app
,EdTech,,3000000.0,,Oliveboard is the top exam preparation platform for Banking & Government Exams.,2021,2012.0,Bangalore,"Abhishek Patil, V Satish Kumar",IAN Fund,,,Oliveboard
,EdTech,$300000,,,Soft Skills that make Smart Leaders,2021,2020.0,New Delhi,Holistic Development Programs for children in age range 5-15,Vishal Gupta,,,Little Leap
,Social commerce,Series B,45000000.0,,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,2021,2016.0,Bangalore,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Mirae Asset, H&M",,,Trell
,EdTech,,1000000.0,,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,2021,2008.0,Kolkata,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities,,,Kredent
,Healthcare,Seed,500000.0,,India’s First Digital Admission Desk for Hospitalisation.,2021,2020.0,Mumbai,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,,,EasyAspataal
,Food & Beverages,,,,Instigate your sixth sense with our new range of chocolates.,2021,2008.0,Bangalore,Vimal Sharma,Klub,,,SMOOR
,Social community,,3200000.0,,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",2021,2019.0,Bangalore,Pankhuri Shrivastava,Sequoia’s Surge,,,Pankhuri
,Information Technology,Seed,370000.0,,Arcana is the Storage Layer of Ethereum.,2021,2019.0,Bangalore,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,,,Arcana
,EdTech,,,,A tech solution for end to end career advisory to students looking to study abroad.,2021,2016.0,Noida,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal	#REF!",$1000000,,,AdmitKard
,Food & Beverages,,,,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,2021,2017.0,Hyderabad,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,,,UrbanKisaan
